id,state,count
1,ak,341
2,al,706
3,ar,642
4,az,2617
5,ca,9575
6,co,1521
7,ct,971
8,dc,7
9,de,180
10,fl,4155
11,ga,1359
12,hi,276
13,ia,735
14,id,566
15,il,2698
16,in,1404
17,ks,652
18,ky,931
19,la,597
20,ma,1341
21,md,890
22,me,599
23,mi,1980
24,mn,1096
25,mo,1569
26,ms,414
27,mt,531
28,nc,1863
29,nd,140
30,ne,415
31,nh,517
32,nj,1352
33,nm,794
34,nv,858
35,ny,3234
36,oh,2464
37,ok,779
38,or,1882
39,pa,2520
40,pr,26
41,ri,244
42,sc,1078
43,sd,196
44,tn,1228
45,tx,3742
46,ut,659
47,va,1381
48,vt,283
49,wa,4292
50,wi,1309
51,wv,493
52,wy,191
